;Zinc_ID;SMILES;MolecularFormula;MolWt;MolLogp;HAcceptors;HDonors;RotableBonds;RindCount;TPSA
52;ZINC000014723974;O=C(O)[C@@H]1NN=CC[C@H]1O;C5H8N2O3;144.053492116;-1.2204000000000004;4;3;1;1;81.92
53;ZINC000306579215;OC[C@@]12OC[C@H](O)[C@@H](O1)[C@H](O)[C@H]2O;C7H12O6;192.063388104;-2.8132999999999995;6;4;1;2;99.38000000000001
54;ZINC000100625336;O=C(O)C1=C[C@@H](O)[C@@H](O)C(=O)C1;C7H8O5;172.037173356;-1.308;4;3;1;1;94.83000000000001
55;ZINC000013327653;C[C@H](O)[C@@]1(O)C=CC(=O)[C@@H]1O;C7H10O4;158.0579088;-1.4019000000000001;4;3;1;1;77.76
56;ZINC000166148215;CO[C@H]([C@H](C)O)[C@H](O)[C@H](O)C=O;C7H14O5;178.084123548;-1.6971000000000005;5;3;5;0;86.99000000000001
57;ZINC000255989998;C[C@H](O)[C@H](O)[C@@H](O)[C@H](O)C(=O)CO;C7H14O6;194.079038168;-2.988700000000001;6;5;5;0;118.22000000000001
58;ZINC000306313031;O=C(O)[C@@H]1O[C@H](CO)[C@H](O)[C@H]1O;C6H10O6;178.04773803999998;-2.4475000000000002;5;4;2;1;107.22000000000001
59;ZINC000003860468;N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O;C6H13NO5;179.079372516;-3.2549999999999994;6;5;1;1;116.17000000000002
60;ZINC000013538225;C[C@H](NC(=O)[C@H](N)[C@H](C)O)C(=O)O;C7H14N2O4;190.095356928;-1.7161999999999988;4;4;4;0;112.65000000000002
61;ZINC000118888724;O=C(O)CN1C[C@H](O)[C@H](O)[C@H]1CO;C7H13NO5;191.079372516;-2.530699999999999;5;4;3;1;101.23
62;ZINC000039115124;NCCCC[C@H]1NC(=O)CNC1=O;C8H15N3O2;185.11642672;-1.2699999999999985;3;3;4;1;84.22
63;ZINC000001575495;C[C@H](N)C(=O)N[C@H](C)C(=O)O;C6H12N2O3;160.084792244;-1.0770999999999997;3;3;3;0;92.42
