zinc_id,smiles
ZINC000105351997,O=C1C=C[C@H](O)[C@]2(CO)O[C@@H]12
ZINC000238399686,CO[C@H](CC(=O)O)[C@H](O)C(=O)O
ZINC000012503978,CO[C@@H]1[C@@H](O)[C@H](O)[C@H](C)O[C@H]1O
ZINC000001492251,OC[C@@H]1NC[C@H](O)[C@H]1O
ZINC000003137564,CC(=O)N[C@@H](CC(N)=O)C(=O)O
ZINC000142497718,N[C@@H](C=O)[C@@H](O)CO
ZINC000085594637,NC[C@H](O)[C@H]1NC(N)=N[C@@H]1C(=O)O
ZINC000001530146,O=C(O)C[C@@H](C(=O)O)C(=O)C(=O)O
ZINC000004028704,O=C(O)C[C@]1(C(=O)O)O[C@@H]1C(=O)O
ZINC000022055080,O[C@H]1C=C[C@@H](O)[C@H](O)[C@@H]1O
ZINC000166134198,COC[C@H](O)[C@@H](O)[C@@H](C=O)OC
ZINC000036475234,O[C@@H]1O[C@H]2CO[C@H]([C@@H]2O)[C@H]1O
ZINC000255968200,CO[C@H]1[C@@H](O)[C@H](CO)[C@@H](O)[C@H]1O
ZINC000257376786,C[C@]1(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
ZINC000013438104,NC[C@@H](O)C[C@@H](N)CC(=O)O
ZINC000014723862,CC1=NC[C@H](O)[C@H](C(=O)O)N1
ZINC000003394130,O=C(O)CN1C(=O)CNC1=O
ZINC000003869786,O=C(O)[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
ZINC000100053150,O[C@H]1[C@H](O)[C@H](O)[C@H]2CC[C@@]1(O)N2
ZINC000002039484,O=C(O)[C@](O)(CO)C[C@H](O)CO
ZINC000013435241,CO[C@H]([C@H](O)C=O)[C@@H](O)[C@H](C)O
ZINC000035024242,CN(C)C[C@@H](N)C(=O)O
ZINC000014723976,O=C(O)[C@@H]1NN=CC[C@@H]1O
ZINC000003861573,O[C@H]1OC[C@@H](O)[C@H](O)[C@@H]1O
ZINC000014723973,O=C(O)[C@H]1NN=CC[C@@H]1O
ZINC000013353839,COC(=O)C[C@H](O)[C@@H](N)C(=O)OC
ZINC000014419518,C[C@H]([C@@H](O)CO)[C@@H](N)C(=O)O
ZINC000100349871,O=C(O)[C@H](O)C(=O)[C@H](O)[C@@H](O)CO
ZINC000308102125,COC[C@H](O)[C@H](O)[C@H](O)[C@@H](O)C=O
ZINC000096911256,O[C@H]1[C@H](O)CN2CC[C@H](O)[C@@H]2[C@H]1O
ZINC000004095881,O=C(CO)COS(=O)(=O)O
ZINC000156387241,NC1=C(C(=O)O)C(=O)[C@@H]2O[C@H]2[C@@H]1O
ZINC000224441499,O=C(O)C(=O)CC[C@H](O)CO
ZINC000005131905,NC[C@@H](NC(=O)C(=O)O)C(=O)O
ZINC000014585673,COC(=O)[C@@H](O)CC(=O)O
ZINC000257461388,N[C@@]12CC[C@@H](N1)[C@H](O)[C@@H](O)[C@H]2O
ZINC000038599879,O=C[C@@H]1O[C@H](CO)[C@H](O)[C@H]1O
ZINC000004298371,C[C@@H](O)[C@@H](NC(N)=O)C(=O)O
ZINC000100774997,O[C@@H]1CC[C@@H]2C[C@@H](O)[C@]1(O)N2
ZINC000307742373,C[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](CO)N1C
ZINC000015274319,N=C1NOCC[C@@H](C(=O)O)N1
ZINC000002020259,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
ZINC000013369274,O=C1[C@@H](P(=O)(O)O)C[C@@H](O)N1O
ZINC000013327904,O=C1OCC[C@@]1(O)CO
ZINC000013612564,OC[C@@H]1NC[C@H](O)[C@@H](O)[C@H]1O
ZINC000001677289,N[C@H](CCC[C@@H](N)C(=O)O)C(=O)O
ZINC000002560737,NC(=O)CC[C@@H](N)C(N)=O
ZINC000014656234,C[C@@H]1O[C@@H](O)CC[C@@]1(O)C(=O)CO
ZINC000013353096,CC#C[C@H](O)[C@@H](N)C(=O)O
ZINC000014948984,C[C@@H]1NC(=O)[C@@H]2C[C@@H](O)CN2C1=O
ZINC000034621696,OC[C@@H]1SC[C@@H](O)[C@H]1O
ZINC000085936263,COC1=CC(=O)[C@H](O)[C@](C)(O)[C@H]1O
ZINC000140705359,O[C@@H]1[C@H]2O[C@H]3CO[C@@H]1[C@H]3O2
ZINC000167822368,CO[C@H](C=O)[C@@H]1OC[C@H](O)[C@H]1O
ZINC000059206978,N[C@@H]1C[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
ZINC000014451113,N[C@@H](C[S@](=O)CCO)C(=O)O
ZINC000002384917,N[C@@H](C(=O)O)[C@@H](O)[C@H](O)[C@H](O)CO
ZINC000104372385,O=C(O)[C@@H]1O[C@H](O)[C@H](O)[C@H]1O
ZINC000199284813,O=C1C(CO)=C[C@H](O)[C@@H](O)[C@@H]1O
ZINC000003869508,CC(=O)[C@@H](O)[C@@H](O)CO
ZINC000104375779,O[C@@H]1[C@H]2CC[C@@](O)(N2)[C@H](O)[C@@H]1O
ZINC000031302374,Nc1nc(=O)c2c(ncn2O)[nH]1
ZINC000014446138,N=C(O)NC[C@H](O)C[C@H](N)C(=O)O
ZINC000100389567,O=C[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(=O)O
ZINC000013369277,O=C1[C@@H](P(=O)(O)O)C[C@H](O)N1O
ZINC000033817254,COC1=CC(=O)[C@H](O)[C@@](C)(O)[C@H]1O
ZINC000013356048,N[C@H]1CO[C@@H]1C(=O)O
ZINC000012153499,O[C@@H]1C[C@@H](O)[C@@]2(O)CC[C@@H]1N2
ZINC000002569310,OC[C@@H]1O[C@@H](O)[C@H](O)[C@H]1O
ZINC000108475601,CO[C@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O
ZINC000000120126,Cn1c(=O)c2c(n(C)c1=O)=NC(=O)N=2
ZINC000014923576,O=C1C(CO)=C[C@H](O)[C@H](O)[C@H]1Cl
ZINC000306539545,CC(=O)NC[C@@H]1OC[C@H](N)[C@@H]1O
ZINC000100054060,O=C[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O
ZINC000104369800,O[C@H]1C[C@H](O)[C@@]2(O)CC[C@H]1N2
ZINC000031439447,N[C@H](O)C(=O)O
ZINC000000895271,OC[C@H](O)[C@@H](O)CO
ZINC000238736571,OC[C@H](O)[C@@H]1N[C@H](CO)[C@H](O)[C@H]1O
ZINC000014489352,O=C1C[C@H]2O[C@H](CO)CN12
ZINC000001694563,OCC[C@H](O)[C@H](O)CO
ZINC000238713873,O=C1[C@H](CO)CC[C@@H]1[C@@H](O)CO
ZINC000257555760,CC[C@@H]1N[C@H](C)[C@H](O)[C@H](O)[C@H]1O
ZINC000016121536,CN(C)c1n[nH]c(=O)[nH]c1=O
ZINC000166133963,COC[C@H](O)[C@H](O)[C@@H](C=O)OC
ZINC000001532520,OC[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@H]1O
ZINC000000895342,N[C@H](CO)C(=O)O
ZINC000003921663,OC[C@@H]1O[C@@H]1C#CC#C[C@H]1O[C@H]1CO
ZINC000004097151,OC[C@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O
ZINC000005973788,N[C@H](C(=O)O)[C@@H](O)c1cnc[nH]1
ZINC000013360729,OC1[C@@H](O)COC[C@@H]1O
ZINC000012502662,O=C(O)[C@H](O)C[C@@H](O)[C@@H](O)CO
ZINC000000895720,O=C1O[C@H]([C@H](O)CO)[C@@H](O)[C@H]1O
ZINC000034203127,O=C(O)[C@@H]1C[C@@H](O)[C@@H](O)CN1
ZINC000307908546,CO[C@H](C=O)[C@H](O)[C@H](O)[C@@H](C)O
ZINC000013351295,C[C@@](O)(CO)C[C@@H](N)C(=O)O
ZINC000002570186,CC(CN)(CN)CN
ZINC000014743731,CN1CC(=O)N2CCNC[C@@H]2C1=O
ZINC000014965429,C[C@@H]1O[C@H](O)[C@@H](N)C[C@@H]1N
ZINC000257375492,CC[C@@H]1N[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O
ZINC000257492262,OC[C@]1(O)CCN2CC[C@H](O)[C@H]21
ZINC000014504428,NC(=O)C(O)(C(N)=O)c1ccccc1
ZINC000019364225,NCCNCCNCCN
ZINC000006030221,C[C@H](O)[C@@H](O)[C@@H](O)CC=O
ZINC000009970328,O=C(O)[C@H](O)C(=O)[C@H](O)[C@H](O)CO
ZINC000013327612,O=C1C=C[C@@](O)(CCO)[C@H](O)C1
ZINC000257771899,C[S@](=O)[C@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@H]1N
ZINC000100067690,CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
ZINC000002562600,N=C(N)N[C@H](CCC(=O)O)C(=O)O
ZINC000003869533,O=C1[C@H](O)[C@H](CO)O[C@@H](O)[C@H]1O
ZINC000002116020,O=C(O)CNc1c[nH]c(=O)[nH]c1=O
ZINC000002574224,CC(=O)Nc1c(N)[nH]c(=O)n(C)c1=O
ZINC000003640894,NC1=NC(=O)C2=NC=NC2=N1
ZINC000220841155,O=C[C@@H](C(=O)O)[C@H](O)C(=O)O
ZINC000000342245,Cn1ncnc2c(=O)n(C)c(=O)nc1-2
ZINC000013549741,C[C@@H]1OC(=O)[C@H](O)[C@H](O)[C@H]1O
ZINC000005967118,CN1C(N)=NC(=O)[C@H]1O
ZINC000001529816,C[C@@H](O)[C@@H](O)CC(=O)C(=O)O
ZINC000003872700,NC(=O)[C@@H]1O[C@H](O)[C@H](O)[C@H](O)[C@H]1O
ZINC000238721262,O=C1O[C@@H](C(=O)O)[C@@H](O)[C@H](O)[C@@H]1O
ZINC000001555575,COC(=O)[C@@H](O)[C@H](O)C(=O)OC
ZINC000005178963,O=[N+]([O-])OC[C@@H](CO)O[N+](=O)[O-]
ZINC000306548521,CO[C@H]1O[C@@H](OC)[C@@H](O)[C@H](O)[C@@H]1O
ZINC000005967236,CN1C(N)=NC(=O)[C@@H]1O
ZINC000012502658,O=C(O)[C@H](O)C[C@H](O)[C@@H](O)CO
ZINC000002166829,NC(=O)NCCC[C@@H](N)C(=O)O
ZINC000145128771,C[C@H](CO)[C@@H](O)[C@@H](O)CO
ZINC000257530235,CC(=O)C[C@]1(CO)OC[C@H](O)[C@H]1O
ZINC000012153500,O[C@H]1C[C@@H](O)[C@@]2(O)CC[C@@H]1N2
ZINC000052986906,NCC[C@H](N)C(=O)O
ZINC000040165554,NC(=O)NOCC[C@@H](N)C(=O)O
ZINC000001531042,NOCC[C@H](N)C(=O)O
ZINC000257616068,[O-][N@+]12CCC[C@H](O)[C@@H]1[C@H](O)[C@@H](O)C2
ZINC000033831451,NC(=O)[C@H](C[C@@H](N)C(=O)O)C(=O)O
ZINC000104582953,COC(=O)[C@@H](N)O
ZINC000238742055,O=C[C@H](O)NCCOP(O)O
ZINC000013484491,NC(=O)[C@@]1(O)C=C[C@@H](O)C1
ZINC000004028703,O=C(O)C[C@@]1(C(=O)O)O[C@@H]1C(=O)O
ZINC000013459858,C[C@]1(O)C(=O)OC[C@@H]1O
ZINC000014814632,C[C@@](O)(C(=O)O)[C@@H](O)CO
ZINC000011616542,O=C[C@H](O)[C@@H]1OC(=O)[C@@H](O)[C@H]1O
ZINC000003861074,N[C@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O
ZINC000013327635,O=C1C=C[C@H](O)C[C@@]1(O)CCO
ZINC000001529600,CNC(=O)CC[C@H](N)C(=O)O
ZINC000004537423,COC1[C@@H](O)[C@@H](O)C(O)[C@H](O)[C@@H]1O
ZINC000147775113,C[C@H](CO)[C@H](O)[C@@H](O)CO
ZINC000005131899,N[C@H](CN(O)N=O)C(=O)O
ZINC000223628190,O=C(O)[C@H]1OC(=O)[C@H](O)[C@H]1O
ZINC000238701389,O[C@@H]1[C@@H](O)[C@@]2(O)CO[C@@]1(O)CO2
ZINC000014778958,COC(=O)C1=C[C@H](O)[C@H](O)[C@@H](O)C1
ZINC000156387985,COC(=O)C1=C(N)[C@H](O)[C@@H]2O[C@@H]2C1=O
ZINC000103535754,Oc1ncc2c(n1)=N[CH+]N=2
ZINC000100006137,O=C1O[C@@H]([C@H](O)CO)C(O)=C1O
ZINC000034016985,NC(=O)C[C@H](N)C(=O)NCC(=O)O
ZINC000004099140,O=C(O)[C@H](O)CS(=O)(=O)O
ZINC000201283944,CN[C@@H]1[C@H](O)CO[C@H](OC)[C@H]1O
ZINC000094437874,N=C(O)[C@@H](N)CO
